	protein_sequence1	protein_sequence2	interaction
146	1361	314	1
147	2202	1924	1
148	2202	1522	1
149	136	2140	1
150	442	2427	1
151	442	1355	1
152	442	2673	1
153	442	327	1
154	1448	2677	1
155	927	1326	1
156	427	341	1
157	192	1881	1
158	1695	2490	1
159	2275	2544	1
160	2275	163	1
161	2275	1321	1
162	2348	860	1
163	2348	1522	1
164	2032	1924	1
165	221	2544	1
166	221	1319	1
167	946	1743	1
168	946	144	1
169	2597	335	1
170	2597	954	1
171	2597	1285	1
172	2597	52	1
173	2597	290	1
174	492	2544	1
175	492	878	1
176	492	73	1
177	1646	1218	1
178	1551	2544	1
179	45	555	1
180	45	2490	1
181	1511	272	1
182	1511	1924	1
183	1511	2498	1
184	1511	2594	1
185	1511	1166	1
186	1511	1068	1
187	1511	1078	1
188	316	163	1
189	316	1522	1
190	316	2677	1
191	106	1881	1
192	1315	1625	1
193	1656	537	1
194	2491	80	1
195	2076	1924	1
196	391	2102	1
197	2106	926	1
198	2137	1091	1
199	1031	2677	1
200	818	2379	1
201	1528	463	1
202	1528	878	1
203	1528	272	1
204	1528	1924	1
205	1528	2677	1
206	1502	860	1
207	416	2427	1
208	416	1881	1
209	416	327	1
210	1814	832	1
211	1814	286	1
212	1814	80	1
213	1356	2490	1
214	1008	2673	1
215	393	341	1
216	393	1755	1
217	784	860	1
218	784	2257	1
219	784	695	1
220	2526	2677	1
221	2299	1924	1
222	2299	1522	1
223	24	2544	1
224	24	878	1
225	24	1522	1
226	1824	2427	1
227	293	463	1
228	293	1396	1
229	293	272	1
230	293	1924	1
231	293	2498	1
232	293	869	1
233	64	2544	1
234	64	774	1
235	64	1522	1
236	64	19	1
237	755	80	1
238	2416	2456	1
239	890	408	1
240	996	2490	1
241	446	2349	1
242	2213	370	1
243	2213	1280	1
244	2213	414	1
245	2213	1053	1
246	1960	2490	1
247	1960	878	1
248	1960	1218	1
249	1960	1157	1
250	1960	2677	1
251	1960	73	1
252	1960	144	1
253	1960	1743	1
254	223	878	1
255	2574	1970	1
256	2574	485	1
257	2574	1337	1
258	2574	1218	1
259	2574	1522	1
260	2574	73	1
261	1959	2490	1
262	1959	878	1
263	2425	463	1
264	2425	878	1
265	1373	463	1
266	1373	1522	1
267	1373	2677	1
268	1373	869	1
269	1229	2544	1
270	2712	453	1
271	1571	463	1
272	1571	878	1
273	1571	1209	1
274	1571	1522	1
275	1571	2677	1
276	1571	869	1
277	1107	1924	1
278	953	341	1
279	1472	1738	1
280	1472	1522	1
281	951	1056	1
282	951	1517	1
283	2207	463	1
284	2207	2490	1
285	2207	2367	1
286	2207	1275	1
287	2207	1522	1
288	2207	2677	1
289	915	2490	1
290	2704	2490	1
291	2704	2170	1
292	572	2490	1
293	572	878	1
294	906	1580	1
295	1880	163	1
296	1880	1906	1
297	1880	1881	1
298	1115	878	1
299	1343	925	1
300	1806	2427	1
301	1806	2490	1
302	1806	49	1
303	493	1738	1
304	2230	878	1
305	1304	370	1
306	1304	2490	1
307	1304	414	1
308	1304	1618	1
309	1304	2080	1
310	2502	2135	1
311	2069	2427	1
312	59	1522	1
313	799	2205	1
314	1257	2490	1
315	1529	1522	1
316	955	2189	1
317	955	463	1
318	955	2490	1
319	955	272	1
320	955	1607	1
321	955	290	1
322	955	2594	1
323	955	1685	1
324	955	19	1
325	955	30	1
326	955	869	1
327	955	1035	1
328	955	2164	1
329	1270	2544	1
330	1270	1522	1
331	2250	2490	1
332	2250	669	1
333	89	2544	1
334	2154	2633	1
335	265	1662	1
336	295	860	1
337	2375	2632	1
338	2375	1078	1
339	331	370	1
340	331	414	1
341	331	1053	1
342	177	2544	1
343	177	1522	1
344	177	1300	1
345	2110	2456	1
346	1552	2135	1
347	2412	463	1
348	2412	1781	1
349	2412	1522	1
350	2412	73	1
351	2093	2490	1
352	2093	1924	1
353	2132	1685	1
354	825	1924	1
355	2386	144	1
356	1490	2427	1
357	1490	327	1
358	987	1881	1
359	987	809	1
360	987	2221	1
361	987	1924	1
362	987	610	1
363	987	1763	1
364	987	314	1
365	987	621	1
366	987	30	1
367	987	2693	1
368	1928	887	1
369	2639	1881	1
370	1027	1881	1
371	1549	862	1
372	1549	1881	1
373	1549	2427	1
374	1549	878	1
375	1549	272	1
376	1549	1924	1
377	1549	2498	1
378	1549	290	1
379	1549	2594	1
380	1549	1685	1
381	1549	1157	1
382	1549	2677	1
383	1549	30	1
384	1549	1068	1
385	1549	194	1
386	2190	1629	1
387	2359	1522	1
388	2249	414	1
389	2249	1273	1
390	747	2427	1
391	747	1355	1
392	376	80	1
393	2466	2079	1
394	2466	1148	1
395	2341	878	1
396	2341	1157	1
397	2341	2677	1
398	2341	73	1
399	725	878	1
400	936	1970	1
401	936	485	1
402	936	463	1
403	936	272	1
404	936	1924	1
405	936	2498	1
406	936	2594	1
407	2291	2687	1
408	2291	1924	1
409	1025	2427	1
410	1025	73	1
411	1025	590	1
412	1299	463	1
413	1299	2490	1
414	1299	272	1
415	1299	1685	1
416	1562	1924	1
417	1562	1522	1
418	648	1522	1
419	513	1607	1
420	1105	1792	1
421	1500	1522	1
422	2005	1738	1
423	2005	1522	1
424	291	1970	1
425	291	485	1
426	907	2490	1
427	1673	2135	1
428	2621	2490	1
429	2621	73	1
430	1516	2135	1
431	1269	2490	1
432	1269	1330	1
433	2615	904	1
434	1604	463	1
435	1604	272	1
436	1604	2498	1
437	1604	2594	1
438	1348	2490	1
439	41	2490	1
440	41	341	1
441	41	1618	1
442	292	1522	1
443	292	2677	1
444	2284	2632	1
445	2284	1078	1
446	526	463	1
447	526	1522	1
448	526	2677	1
449	349	2544	1
450	520	335	1
451	520	2677	1
452	520	2168	1
453	520	2376	1
454	520	2490	1
455	520	1395	1
456	520	2673	1
457	520	1297	1
458	520	1091	1
459	520	2661	1
460	2096	2490	1
461	1362	570	1
462	1362	1817	1
463	2439	1738	1
464	2351	1262	1
465	440	463	1
466	440	2544	1
467	440	163	1
468	440	1522	1
469	440	1078	1
470	2014	1522	1
471	2014	2677	1
472	1543	272	1
473	1543	1924	1
474	1543	1157	1
475	1543	2677	1
476	1543	1743	1
477	151	163	1
478	1866	1522	1
479	730	144	1
480	1272	1924	1
481	1272	1755	1
482	1272	1607	1
483	1272	2594	1
484	1272	30	1
485	1925	642	1
486	2433	2677	1
487	1332	2205	1
488	1332	80	1
489	1757	878	1
490	1757	80	1
491	2566	1522	1
492	2566	2677	1
493	1039	2544	1
494	1039	878	1
495	1039	1924	1
496	1039	1743	1
497	1308	2544	1
498	1308	1522	1
499	606	272	1
500	606	1924	1
501	606	2257	1
502	606	314	1
503	606	2736	1
504	606	1093	1
505	606	144	1
506	58	2490	1
507	1739	860	1
508	1739	2673	1
509	1402	2544	1
510	1402	2490	1
511	1402	2673	1
512	1402	2677	1
513	1010	2490	1
514	2484	2456	1
515	1882	1218	1
516	2304	2205	1
517	1019	2319	1
518	1019	1078	1
519	1019	1078	1
520	1019	1078	1
521	1019	1078	1
522	1559	1878	1
523	2176	1100	1
524	2176	2135	1
525	1879	453	1
526	1879	835	1
527	1879	185	1
528	1879	772	1
529	1879	1062	1
530	1879	2379	1
531	1879	2331	1
532	1879	669	1
533	1879	2473	1
534	1170	2490	1
535	2610	2490	1
536	361	2544	1
537	827	2544	1
538	2193	878	1
539	46	2687	1
540	46	1629	1
541	46	490	1
542	46	286	1
543	36	2740	1
544	1740	2490	1
545	1843	1924	1
546	1843	2677	1
547	655	1743	1
548	655	1924	1
549	1282	2677	1
550	234	1522	1
551	2737	1738	1
552	2737	1522	1
553	579	463	1
554	579	1685	1
555	579	1522	1
556	579	2677	1
557	579	869	1
558	1416	860	1
559	1726	2544	1
560	2053	1285	1
561	2053	1805	1
562	2053	1833	1
563	2053	80	1
564	2053	887	1
565	2053	1522	1
566	920	1805	1
567	920	1522	1
568	1651	694	1
569	1651	694	1
570	1382	1629	1
571	1917	860	1
572	1917	163	1
573	2515	2544	1
574	2515	333	1
575	1229	2544	1
576	1229	2544	1
577	2731	1522	1
578	31	2490	1
579	787	1569	1
580	787	1079	1
581	1626	80	1
582	317	1522	1
583	2311	144	1
584	2033	1330	1
585	1124	1569	1
586	1124	1079	1
587	1124	2102	1
588	2054	2436	1
589	2054	1342	1
590	2054	432	1
591	2054	2724	1
592	2054	2498	1
593	2054	2594	1
594	2054	272	1
595	2054	2136	1
596	2054	1563	1
597	2054	1068	1
598	2054	1035	1
599	2054	1924	1
600	2054	485	1
601	2054	1970	1
602	2054	2189	1
603	2054	1522	1
604	957	2544	1
605	1649	386	1
606	1505	1522	1
607	1505	485	1
608	1505	860	1
609	1505	1970	1
610	968	1522	1
611	2479	80	1
612	1460	2427	1
613	1460	1608	1
614	2546	1743	1
615	2546	144	1
616	2206	1580	1
617	139	1522	1
618	666	2490	1
619	1445	1522	1
620	1445	1738	1
621	1334	2456	1
622	1496	80	1
623	2008	570	1
624	2008	2693	1
625	1221	1522	1
626	102	2456	1
627	1422	1881	1
628	2705	2544	1
629	496	1743	1
630	360	163	1
631	1094	590	1
632	1094	2427	1
633	402	2498	1
634	402	272	1
635	402	1157	1
636	402	1522	1
637	402	1924	1
638	402	878	1
639	2245	878	1
640	2245	1522	1
641	2245	2490	1
642	2245	878	1
643	2245	1738	1
644	1401	2205	1
645	1401	2490	1
646	678	1743	1
647	678	1035	1
648	231	2677	1
649	173	2693	1
650	576	2490	1
651	2281	570	1
652	2281	2693	1
653	2281	2180	1
654	302	1743	1
655	2125	1166	1
656	2530	1062	1
657	2530	2544	1
658	2530	153	1
659	2530	290	1
660	1698	1522	1
661	712	272	1
662	1968	2544	1
663	322	2544	1
664	1732	2257	1
665	2588	2544	1
666	394	1522	1
667	691	2292	1
668	2650	1564	1
669	2650	2740	1
670	1283	2490	1
671	379	1355	1
672	379	2427	1
673	379	590	1
674	972	2427	1
675	972	590	1
676	972	1522	1
677	972	1355	1
678	743	2632	1
679	743	1078	1
680	743	1629	1
681	11	860	1
682	1921	2072	1
683	1535	2677	1
684	1535	2544	1
685	1998	878	1
686	121	2490	1
687	1060	272	1
688	1060	1157	1
689	1060	73	1
690	1060	1218	1
691	928	163	1
692	928	163	1
693	928	15	1
694	1180	131	1
695	1006	2594	1
696	1006	272	1
697	1006	1924	1
698	1006	2490	1
699	213	1522	1
700	213	860	1
701	1576	1522	1
702	2651	1035	1
703	604	2673	1
704	604	1522	1
705	1414	2293	1
706	1553	570	1
707	1553	2544	1
708	794	163	1
709	2340	2498	1
710	2340	2594	1
711	2340	2677	1
712	2340	272	1
713	2340	2136	1
714	2340	1068	1
715	2340	869	1
716	2340	1924	1
717	2340	463	1
718	2340	878	1
719	2340	1881	1
720	2028	878	1
721	2339	1157	1
722	1602	2490	1
723	1647	80	1
724	1542	860	1
725	923	1811	1
726	923	2333	1
727	1939	80	1
728	523	2677	1
729	523	1522	1
730	1151	878	1
731	2044	1395	1
732	2300	144	1
733	2470	1196	1
734	98	163	1
735	98	1522	1
736	1331	1522	1
737	1063	878	1
738	2357	1166	1
739	2312	80	1
740	2312	2673	1
741	2312	2503	1
742	2105	1522	1
743	1714	1522	1
744	240	2677	1
745	1807	878	1
746	660	2544	1
747	837	2490	1
748	255	1091	1
749	10	1655	1
750	10	3	1
751	10	1210	1
752	1071	2490	1
753	2426	2490	1
754	608	2544	1
755	1377	2427	1
756	1377	590	1
757	1005	1278	1
758	2109	2205	1
759	2109	2490	1
760	1229	2544	1
761	1229	2544	1
762	1229	2544	1
763	1229	2544	1
764	1229	2544	1
765	792	2544	1
766	792	2544	1
767	792	2544	1
768	2091	1091	1
769	1229	2544	1
770	1098	2677	1
771	387	2490	1
772	387	73	1
773	2031	860	1
774	2031	1522	1
775	2016	2367	1
776	2016	887	1
777	1227	1522	1
778	2601	414	1
779	1519	341	1
780	745	2427	1
781	745	1355	1
782	1761	1522	1
783	1761	73	1
784	1600	1755	1
785	980	1522	1
786	1846	2490	1
787	1846	878	1
788	1846	272	1
789	1846	1924	1
790	1846	2498	1
791	1846	290	1
792	1846	2594	1
793	1846	1685	1
794	1846	1157	1
795	1846	2673	1
796	1846	30	1
797	1916	1970	1
798	1916	485	1
799	1916	463	1
800	1916	2490	1
801	1916	878	1
802	1916	432	1
803	1916	272	1
804	1916	1924	1
805	1916	2498	1
806	1916	290	1
807	1916	2594	1
808	1916	1685	1
809	1916	1157	1
810	1916	1522	1
811	1916	73	1
812	1916	30	1
813	1211	2427	1
814	1211	272	1
815	1211	1924	1
816	1211	1607	1
817	1211	2594	1
818	1211	1522	1
819	1211	327	1
820	701	878	1
821	701	1522	1
822	2408	1522	1
823	2511	73	1
824	321	2427	1
825	321	1355	1
826	321	590	1
827	2645	2490	1
828	1735	463	1
829	1735	1522	1
830	1735	2677	1
831	2524	73	1
832	2524	929	1
833	1408	878	1
834	1076	463	1
835	1076	2490	1
836	1076	878	1
837	1076	272	1
838	1076	1685	1
839	1144	1522	1
840	1474	2427	1
841	1474	1355	1
842	1474	1330	1
843	1474	590	1
844	2720	1330	1
845	2062	2740	1
846	2062	1242	1
847	2062	1142	1
848	2062	2427	1
849	2062	2490	1
850	2062	1355	1
851	2062	1330	1
852	92	1218	1
853	92	1743	1
854	92	806	1
855	92	2609	1
856	92	1522	1
857	92	1563	1
858	92	19	1
859	92	869	1
860	2172	1781	1
861	2172	432	1
862	2172	1078	1
863	2172	1078	1
864	2172	1078	1
865	2172	1078	1
866	2172	73	1
867	2172	1522	1
868	2172	2677	1
869	673	1743	1
870	673	144	1
871	1550	2544	1
872	1550	2490	1
873	1550	1522	1
874	1364	2490	1
875	2007	2490	1
876	2692	2693	1
877	2692	2189	1
878	2692	463	1
879	2692	272	1
880	2692	2498	1
881	2692	2594	1
882	2692	1685	1
883	2692	1522	1
884	2692	2677	1
885	2692	869	1
886	1325	2490	1
887	961	887	1
888	190	1881	1
889	994	1881	1
890	307	878	1
891	1492	2490	1
892	2480	2490	1
893	2480	1924	1
894	2480	73	1
895	1775	1924	1
896	616	1522	1
897	2622	878	1
898	2622	1218	1
899	2622	272	1
900	2622	1924	1
901	2622	2594	1
902	2622	1685	1
903	2622	1157	1
904	2622	73	1
905	2622	30	1
906	1578	878	1
907	1555	2205	1
908	1087	475	1
909	1764	1522	1
910	1764	2677	1
911	1663	1752	1
912	1140	1522	1
913	157	463	1
914	157	1273	1
915	157	1522	1
916	157	869	1
917	989	2490	1
918	989	2219	1
919	989	1924	1
920	1861	2490	1
921	66	2140	1
922	2201	1522	1
923	1156	1881	1
924	1156	272	1
925	1156	1924	1
926	1156	2498	1
927	1156	1157	1
928	1156	869	1
929	1080	2205	1
930	816	860	1
931	2338	1275	1
932	2415	656	1
933	4	463	1
934	4	869	1
935	1852	463	1
936	1852	878	1
937	1852	1522	1
938	1852	869	1
939	403	1522	1
940	1359	878	1
941	1359	1166	1
942	1996	1067	1
943	2056	1970	1
944	2056	485	1
945	2056	1337	1
946	2056	891	1
947	2056	1522	1
948	351	2490	1
949	1980	2427	1
950	1980	2000	1
951	1980	80	1
952	1845	463	1
953	318	2490	1
954	318	1792	1
955	363	2673	1
956	363	1522	1
957	363	1441	1
958	1782	1924	1
959	140	2677	1
960	140	1522	1
961	14	1738	1
962	14	1522	1
963	964	878	1
964	964	1218	1
965	2279	80	1
966	853	163	1
967	853	2677	1
968	853	1522	1
969	1767	860	1
970	709	2490	1
971	1313	2490	1
972	1313	1522	1
973	1286	1309	1
974	1286	2308	1
975	1286	5	1
976	1286	1763	1
977	1286	1607	1
978	1286	1833	1
979	1286	30	1
980	1286	1522	1
981	573	878	1
982	1985	272	1
983	1985	1924	1
984	1985	2594	1
985	1985	314	1
986	697	272	1
987	697	1924	1
988	697	314	1
989	703	1522	1
990	2368	2461	1
991	2350	1209	1
992	2350	2436	1
993	2350	1342	1
994	2350	1166	1
995	2350	891	1
996	2350	1522	1
997	1870	2257	1
998	1112	1738	1
999	323	1738	1
1000	323	1157	1
1001	323	1522	1
1002	323	2677	1
1003	2522	463	1
1004	2522	1522	1
1005	2522	869	1
1006	1463	860	1
1007	1463	2490	1
1008	1463	2677	1
1009	158	2490	1
1010	1669	2490	1
1011	1669	878	1
1012	1669	2456	1
1013	1669	1743	1
1014	1669	272	1
1015	1669	1924	1
1016	1669	2498	1
1017	1669	2594	1
1018	1669	1157	1
1019	1669	73	1
1020	1669	1068	1
1021	2167	2205	1
1022	2167	2427	1
1023	2167	590	1
1024	1310	1522	1
1025	2599	1736	1
1026	2599	1079	1
1027	785	1569	1
1028	785	1736	1
1029	785	1079	1
1030	1084	2490	1
1031	372	1738	1
1032	372	1522	1
1033	1686	2544	1
1034	1971	2544	1
1035	1864	2673	1
1036	949	2677	1
1037	1665	2544	1
1038	1665	1522	1
1039	662	144	1
1040	2269	1924	1
1041	613	2490	1
1042	613	878	1
1043	2555	2427	1
1044	2555	878	1
1045	2555	1355	1
1046	101	2490	1
1047	2688	406	1
1048	529	1062	1
1049	529	2632	1
1050	529	1078	1
1051	2145	463	1
1052	2145	2677	1
1053	2145	869	1
1054	637	463	1
1055	637	1522	1
1056	2203	463	1
1057	2203	1522	1
1058	2203	869	1
1059	32	463	1
1060	32	1924	1
1061	32	869	1
1062	1073	463	1
1063	1073	2677	1
1064	2542	463	1
1065	2542	878	1
1066	2542	272	1
1067	2542	1924	1
1068	924	463	1
1069	924	272	1
1070	924	1924	1
1071	924	869	1
1072	484	163	1
1073	484	1078	1
1074	484	1078	1
1075	484	1078	1
1076	484	1078	1
1077	2602	144	1
1078	1288	1522	1
1079	476	2677	1
1080	2393	163	1
1081	2393	2677	1
1082	28	1522	1
1083	424	1738	1
1084	424	1522	1
1085	1730	2544	1
1086	622	1522	1
1087	400	1781	1
1088	400	1337	1
1089	400	1218	1
1090	400	1924	1
1091	400	891	1
1092	400	1522	1
1093	400	73	1
1094	1367	2544	1
1095	17	1629	1
1096	1624	2544	1
1097	1624	19	1
1098	458	2079	1
1099	1352	463	1
1100	1352	2677	1
1101	1352	869	1
1102	1289	2544	1
1103	1289	1522	1
1104	1312	1743	1
1105	1312	73	1
1106	1841	2490	1
1107	1841	2631	1
1108	1872	1970	1
1109	1872	485	1
1110	1872	1781	1
1111	1872	1337	1
1112	1872	1218	1
1113	1872	432	1
1114	1872	891	1
1115	1872	1522	1
1116	1872	73	1
1117	60	1342	1
1118	60	2490	1
1119	60	432	1
1120	60	1522	1
1121	899	1629	1
1122	1660	463	1
1123	1660	878	1
1124	126	163	1
1125	1565	2427	1
1126	1565	590	1
1127	781	370	1
1128	781	1280	1
1129	781	414	1
1130	781	1053	1
1131	1123	2490	1
1132	1106	2490	1
1133	1652	2205	1
1134	1652	1330	1
1135	1652	1736	1
1136	1652	73	1
1137	2394	878	1
1138	2394	1522	1
1139	2394	2677	1
1140	2564	2379	1
1141	2276	1218	1
1142	1424	2490	1
1143	1424	1166	1
1144	1515	2490	1
1145	1515	1738	1
1146	1954	370	1
1147	1954	1053	1
1148	1558	153	1
1149	1558	2661	1
1150	1216	878	1
1151	2499	2205	1
1152	1546	2427	1
1153	1546	1355	1
1154	1546	2677	1
1155	159	1330	1
1156	159	3	1
1157	159	2102	1
1158	159	1569	1
1159	467	2436	1
1160	125	2205	1
1161	125	2490	1
1162	125	1522	1
1163	2446	144	1
1164	1161	2544	1
1165	74	1522	1
1166	35	2490	1
1167	1363	2490	1
1168	1363	2700	1
1169	1363	2219	1
1170	1363	103	1
1171	1363	1078	1
1172	626	463	1
1173	626	869	1
1174	2407	1970	1
1175	2407	485	1
1176	2407	1781	1
1177	2407	1337	1
1178	2407	1218	1
1179	2301	1970	1
1180	2301	485	1
1181	2301	1781	1
1182	2301	1337	1
1183	2301	1218	1
1184	2301	891	1
1185	2301	1522	1
1186	2301	73	1
1187	478	1569	1
1188	478	1924	1
1189	478	1736	1
1190	478	334	1
1191	44	1522	1
1192	2287	1522	1
1193	118	2490	1
1194	470	2205	1
1195	470	2490	1
1196	470	2700	1
1197	1298	2205	1
1198	1298	2490	1
1199	1298	1166	1
1200	2715	2544	1
1201	2715	2050	1
1202	2715	1522	1
1203	182	2544	1
1204	182	860	1
1205	182	1522	1
1206	559	270	1
1207	559	1420	1
1208	559	1696	1
1209	559	2277	1
1210	2644	1522	1
1211	1167	1743	1
1212	1403	2677	1
1213	2263	2544	1
1214	2537	1629	1
1215	952	860	1
1216	1929	828	1
1217	544	2490	1
1218	544	2135	1
1219	544	2585	1
1220	544	1944	1
1221	544	653	1
1222	1126	2490	1
1223	428	2490	1
1224	2739	2490	1
1225	1680	2490	1
1226	1676	1629	1
1227	1534	1522	1
1228	2586	878	1
1229	2586	272	1
1230	2586	1924	1
1231	2586	2498	1
1232	2586	1157	1
1233	2462	2490	1
1234	2462	878	1
1235	2462	2677	1
1236	2462	1522	1
1237	2273	1370	1
1238	2273	1839	1
1239	2273	1850	1
1240	2273	2490	1
1241	2273	878	1
1242	2273	2337	1
1243	2273	1522	1
1244	2273	2266	1
1245	2124	878	1
1246	2124	1792	1
1247	2124	2237	1
1248	2124	1166	1
1249	895	2490	1
1250	895	1522	1
1251	468	2490	1
1252	1907	463	1
1253	1907	2490	1
1254	1907	878	1
1255	1907	432	1
1256	1907	272	1
1257	1907	1924	1
1258	1907	2498	1
1259	1907	2594	1
1260	1907	1685	1
1261	1907	1157	1
1262	1907	1522	1
1263	1907	73	1
1264	2623	1435	1
1265	2623	1743	1
1266	2623	1763	1
1267	2623	1607	1
1268	2623	1833	1
1269	2623	1522	1
1270	2623	30	1
1271	2111	2205	1
1272	507	878	1
1273	459	865	1
1274	459	53	1
1275	2525	272	1
1276	232	2677	1
1277	412	1781	1
1278	412	2490	1
1279	412	878	1
1280	1975	1522	1
1281	649	80	1
1282	866	2490	1
1283	640	2673	1
1284	640	73	1
1285	2442	860	1
1286	2442	1603	1
1287	2442	1522	1
1288	2442	73	1
1289	460	1522	1
1290	227	217	1
1291	2548	2490	1
1292	2335	1522	1
1293	1587	73	1
1294	2090	878	1
1295	2090	2700	1
1296	1986	828	1
1297	9	2205	1
1298	39	163	1
1299	39	1522	1
1300	2121	80	1
1301	2286	2693	1
1302	2286	1781	1
1303	2286	19	1
1304	833	1522	1
1305	238	1522	1
1306	61	1522	1
1307	61	2677	1
1308	807	1970	1
1309	807	547	1
1310	807	2544	1
1311	807	1522	1
1312	807	73	1
1313	211	878	1
1314	1173	1396	1
1315	1173	1738	1
1316	1173	1522	1
1317	999	2205	1
1318	999	370	1
1319	999	1280	1
1320	999	878	1
1321	999	1053	1
1322	999	290	1
1323	999	1522	1
1324	94	2461	1
1325	1862	1881	1
1326	1862	2490	1
1327	1862	878	1
1328	1862	272	1
1329	1862	1924	1
1330	1862	144	1
1331	1862	1068	1
1332	1862	869	1
1333	1251	1062	1
1334	1357	80	1
1335	2365	2677	1
1336	398	163	1
1337	639	1970	1
1338	639	485	1
1339	639	463	1
1340	639	2436	1
1341	639	878	1
1342	639	432	1
1343	639	1924	1
1344	639	290	1
1345	639	1685	1
1346	639	73	1
1347	639	30	1
1348	2630	2687	1
1349	2630	1629	1
1350	2630	2427	1
1351	1791	2427	1
1352	1791	2490	1
1353	1791	1355	1
1354	1791	1157	1
1355	1791	1522	1
1356	1791	2677	1
1357	1791	590	1
1358	1638	1811	1
1359	1638	2333	1
1360	562	1522	1
1361	1467	163	1
1362	1467	1522	1
1363	602	408	1
1364	698	1629	1
1365	1037	1319	1
1366	1037	432	1
1367	2294	2189	1
1368	2294	463	1
1369	2294	272	1
1370	2294	1685	1
1371	1413	163	1
1372	1204	1522	1
1373	1239	1522	1
1374	1049	2456	1
1375	2278	1924	1
1376	2282	590	1
1377	1687	2189	1
1378	1687	463	1
1379	1687	2490	1
1380	1687	878	1
1381	1687	272	1
1382	1687	1607	1
1383	1687	1685	1
1384	2703	1607	1
1385	241	1607	1
1386	1771	163	1
1387	819	1924	1
1388	1689	2427	1
1389	1689	2490	1
1390	1689	1355	1
1391	1689	590	1
1392	2417	1522	1
1393	2148	1218	1
1394	2148	1924	1
1395	1249	163	1
1396	1249	2490	1
1397	1249	1522	1
1398	1249	2677	1
1399	665	1157	1
1400	665	1522	1
1401	2297	463	1
1402	2297	869	1
1403	2009	2490	1
1404	1235	2544	1
1405	836	878	1
1406	2431	2436	1
1407	2431	1522	1
1408	846	2544	1
1409	2126	1522	1
1410	1748	2456	1
1411	1748	1743	1
1412	1748	144	1
1413	1295	2490	1
1414	2569	163	1
1415	1339	463	1
1416	1339	878	1
1417	1339	1522	1
1418	1339	2677	1
1419	1372	463	1
1420	1372	1522	1
1421	1372	2677	1
1422	1372	869	1
1423	1498	335	1
1424	1498	2376	1
1425	1498	2632	1
1426	1498	2456	1
1427	1498	2673	1
1428	1498	1078	1
1429	233	463	1
1430	233	1522	1
1431	233	869	1
1432	1428	463	1
1433	1428	878	1
1434	1428	1522	1
1435	1451	463	1
1436	1451	869	1
1437	2398	2544	1
1438	2398	1522	1
1439	1644	1607	1
1440	2567	2427	1
1441	2567	2000	1
1442	2567	590	1
