	protein_sequence1	protein_sequence2	interaction
195	2053	1229	1
196	2246	333	1
197	2698	83	1
198	2623	1078	1
199	148	683	1
200	2090	423	1
201	1504	1365	1
202	1504	1984	1
203	1504	456	1
204	1504	1229	1
205	1504	683	1
206	1030	383	1
207	1089	2047	1
208	1089	1682	1
209	1089	1402	1
210	976	2206	1
211	976	2289	1
212	976	1171	1
213	41	826	1
214	1605	2220	1
215	1505	526	1
216	1505	1346	1
217	2110	383	1
218	2110	1789	1
219	2110	1261	1
220	1376	683	1
221	659	1229	1
222	659	2553	1
223	2278	60	1
224	2278	1984	1
225	2278	2553	1
226	577	2047	1
227	292	1365	1
228	292	2502	1
229	292	456	1
230	292	1229	1
231	292	45	1
232	292	1841	1
233	1890	60	1
234	1890	2697	1
235	1890	2553	1
236	1890	935	1
237	1850	1171	1
238	2014	1101	1
239	2315	1494	1
240	697	826	1
241	1004	2467	1
242	2269	294	1
243	2269	2266	1
244	2269	1395	1
245	2269	2195	1
246	1631	826	1
247	1631	1984	1
248	1631	355	1
249	1631	2052	1
250	1631	683	1
251	1631	742	1
252	1631	48	1
253	1631	2226	1
254	1343	1984	1
255	760	425	1
256	760	2588	1
257	760	1079	1
258	760	355	1
259	760	2553	1
260	760	742	1
261	2016	826	1
262	2016	1984	1
263	381	1365	1
264	381	1984	1
265	761	1365	1
266	761	2553	1
267	761	683	1
268	761	1841	1
269	1838	60	1
270	2210	100	1
271	1509	1365	1
272	1509	1984	1
273	1509	2093	1
274	1509	2553	1
275	1509	683	1
276	1509	1841	1
277	328	1229	1
278	848	526	1
279	692	2487	1
280	692	2553	1
281	2324	2664	1
282	2324	914	1
283	2296	1365	1
284	2296	826	1
285	2296	2148	1
286	2296	973	1
287	2296	2553	1
288	2296	683	1
289	434	826	1
290	1925	826	1
291	1925	230	1
292	1915	826	1
293	1915	1984	1
294	667	1449	1
295	170	291	1
296	170	343	1
297	170	1682	1
298	120	1984	1
299	2035	474	1
300	1765	2047	1
301	1765	826	1
302	1765	49	1
303	869	2487	1
304	1771	1984	1
305	1755	294	1
306	1755	826	1
307	1755	1395	1
308	1755	2454	1
309	1755	1614	1
310	415	1633	1
311	960	2047	1
312	66	2553	1
313	2692	1646	1
314	366	826	1
315	1257	2553	1
316	2530	2302	1
317	2530	1365	1
318	2530	826	1
319	2530	456	1
320	2530	1061	1
321	2530	1779	1
322	2530	603	1
323	2530	711	1
324	2530	935	1
325	2530	277	1
326	2530	1841	1
327	2530	186	1
328	2530	2392	1
329	2300	60	1
330	2300	2553	1
331	2320	826	1
332	2320	2104	1
333	784	60	1
334	1582	513	1
335	401	330	1
336	2424	383	1
337	2098	1122	1
338	2098	617	1
339	2710	294	1
340	2710	1395	1
341	2710	2195	1
342	1486	60	1
343	1486	2553	1
344	1486	420	1
345	109	1101	1
346	627	1633	1
347	1603	1365	1
348	1603	1337	1
349	1603	2553	1
350	1603	742	1
351	1734	826	1
352	1734	1229	1
353	1549	711	1
354	214	1229	1
355	2049	48	1
356	1535	2047	1
357	1535	1402	1
358	198	1682	1
359	198	2402	1
360	198	2436	1
361	198	1229	1
362	198	226	1
363	198	961	1
364	198	386	1
365	198	204	1
366	198	277	1
367	198	1484	1
368	2672	2537	1
369	916	1682	1
370	395	1682	1
371	413	490	1
372	413	1682	1
373	413	2047	1
374	413	1984	1
375	413	456	1
376	413	1229	1
377	413	45	1
378	413	1779	1
379	413	603	1
380	413	711	1
381	413	2052	1
382	413	683	1
383	413	277	1
384	413	1798	1
385	413	2513	1
386	1846	1559	1
387	115	2553	1
388	1429	1395	1
389	1429	1381	1
390	2054	2047	1
391	2054	336	1
392	360	1171	1
393	2699	1353	1
394	2699	774	1
395	2155	1984	1
396	2155	2052	1
397	2155	683	1
398	2155	742	1
399	1378	1984	1
400	1026	425	1
401	1026	2588	1
402	1026	1365	1
403	1026	456	1
404	1026	1229	1
405	1026	45	1
406	1026	603	1
407	1566	2580	1
408	1566	1229	1
409	1842	2047	1
410	1842	742	1
411	1842	677	1
412	232	1365	1
413	232	826	1
414	232	456	1
415	232	711	1
416	923	1229	1
417	923	2553	1
418	1062	2553	1
419	1305	1061	1
420	1172	2349	1
421	1677	2553	1
422	1119	2487	1
423	1119	2553	1
424	1409	425	1
425	1409	2588	1
426	460	826	1
427	1350	1633	1
428	563	826	1
429	563	742	1
430	1356	1633	1
431	1434	826	1
432	1434	2671	1
433	1347	1555	1
434	1044	1365	1
435	1044	456	1
436	1044	45	1
437	1044	603	1
438	544	826	1
439	265	826	1
440	265	526	1
441	265	2454	1
442	1786	2553	1
443	1786	683	1
444	2740	1122	1
445	2740	617	1
446	851	1365	1
447	851	2553	1
448	851	683	1
449	1679	60	1
450	2605	936	1
451	2605	683	1
452	2605	2251	1
453	2605	1531	1
454	2605	826	1
455	2605	2024	1
456	2605	2220	1
457	2605	2331	1
458	2605	1078	1
459	2605	2644	1
460	347	826	1
461	407	453	1
462	407	2649	1
463	909	2487	1
464	1307	633	1
465	2720	1365	1
466	2720	60	1
467	2720	291	1
468	2720	2553	1
469	2720	617	1
470	815	2553	1
471	815	683	1
472	495	456	1
473	495	1229	1
474	495	2052	1
475	495	683	1
476	495	2226	1
477	2073	291	1
478	1215	2553	1
479	385	48	1
480	2125	1229	1
481	2125	1346	1
482	2125	1061	1
483	2125	603	1
484	2125	277	1
485	2549	800	1
486	2062	683	1
487	270	1646	1
488	270	1171	1
489	573	1984	1
490	573	1171	1
491	393	2553	1
492	393	683	1
493	656	60	1
494	656	1984	1
495	656	1229	1
496	656	2226	1
497	1745	60	1
498	1745	2553	1
499	691	456	1
500	691	1229	1
501	691	1789	1
502	691	386	1
503	691	1322	1
504	691	1106	1
505	691	48	1
506	31	826	1
507	1931	383	1
508	1931	2220	1
509	2002	60	1
510	2002	826	1
511	2002	2220	1
512	2002	683	1
513	1407	826	1
514	2505	1101	1
515	2198	355	1
516	172	1646	1
517	503	1142	1
518	503	617	1
519	503	617	1
520	503	617	1
521	503	617	1
522	1539	1743	1
523	1512	332	1
524	1512	1633	1
525	2721	100	1
526	2721	1788	1
527	2721	1711	1
528	2721	2254	1
529	2721	2495	1
530	2721	423	1
531	2721	279	1
532	2721	2104	1
533	2721	2734	1
534	539	826	1
535	1868	826	1
536	1417	60	1
537	305	60	1
538	1168	1984	1
539	1198	2580	1
540	1198	1559	1
541	1198	2208	1
542	1198	2289	1
543	508	1085	1
544	1174	826	1
545	630	1229	1
546	630	683	1
547	866	2226	1
548	866	1229	1
549	1548	683	1
550	1217	2553	1
551	127	2487	1
552	127	2553	1
553	1336	1365	1
554	1336	711	1
555	1336	2553	1
556	1336	683	1
557	1336	1841	1
558	367	383	1
559	947	60	1
560	537	1511	1
561	537	2594	1
562	537	1522	1
563	537	1171	1
564	537	2537	1
565	537	2553	1
566	101	2594	1
567	101	2553	1
568	685	1628	1
569	685	1628	1
570	1534	1559	1
571	903	383	1
572	903	291	1
573	887	60	1
574	887	2041	1
575	1838	60	1
576	1838	60	1
577	1055	2553	1
578	1271	826	1
579	1651	1427	1
580	1651	1234	1
581	629	1171	1
582	1645	2553	1
583	471	48	1
584	1045	2671	1
585	2276	1427	1
586	2276	1234	1
587	2276	333	1
588	1366	1312	1
589	1366	525	1
590	1366	2391	1
591	1366	734	1
592	1366	45	1
593	1366	603	1
594	1366	456	1
595	1366	169	1
596	1366	1141	1
597	1366	1798	1
598	1366	186	1
599	1366	1229	1
600	1366	2588	1
601	1366	425	1
602	1366	2302	1
603	1366	2553	1
604	1352	60	1
605	2668	2528	1
606	1064	2553	1
607	1064	2588	1
608	1064	383	1
609	1064	425	1
610	2569	2553	1
611	2426	1171	1
612	754	2047	1
613	754	391	1
614	281	2226	1
615	281	48	1
616	188	1449	1
617	105	2553	1
618	1096	826	1
619	1273	2553	1
620	1273	2487	1
621	253	1101	1
622	2544	1171	1
623	2367	453	1
624	2367	1484	1
625	2419	2553	1
626	431	1101	1
627	2733	1682	1
628	2366	60	1
629	2295	2226	1
630	1502	291	1
631	1201	677	1
632	1201	2047	1
633	2641	45	1
634	2641	456	1
635	2641	2052	1
636	2641	2553	1
637	2641	1229	1
638	2641	1984	1
639	2056	1984	1
640	2056	2553	1
641	2056	826	1
642	2056	1984	1
643	2056	2487	1
644	2380	1646	1
645	2380	826	1
646	1052	2226	1
647	1052	186	1
648	1049	683	1
649	1869	1484	1
650	283	826	1
651	1818	453	1
652	1818	1484	1
653	1818	1130	1
654	1691	2226	1
655	88	477	1
656	2214	2495	1
657	2214	60	1
658	2214	23	1
659	2214	1779	1
660	1060	2553	1
661	2156	456	1
662	950	60	1
663	56	60	1
664	549	1789	1
665	22	60	1
666	971	2553	1
667	2462	921	1
668	1299	811	1
669	1299	1085	1
670	1830	826	1
671	1104	336	1
672	1104	2047	1
673	1104	677	1
674	1923	2047	1
675	1923	677	1
676	1923	2553	1
677	1923	336	1
678	1506	1122	1
679	1506	617	1
680	1506	1559	1
681	1659	383	1
682	1262	1403	1
683	181	683	1
684	181	60	1
685	2431	1984	1
686	152	826	1
687	610	456	1
688	610	2052	1
689	610	742	1
690	610	355	1
691	2479	291	1
692	2479	291	1
693	2479	993	1
694	2039	2371	1
695	1304	603	1
696	1304	456	1
697	1304	1229	1
698	1304	826	1
699	2135	2553	1
700	2135	383	1
701	558	2553	1
702	499	186	1
703	2556	2220	1
704	2556	2553	1
705	671	1772	1
706	1292	453	1
707	1292	60	1
708	497	291	1
709	874	45	1
710	874	603	1
711	874	683	1
712	874	456	1
713	874	169	1
714	874	1798	1
715	874	1841	1
716	874	1229	1
717	874	1365	1
718	874	1984	1
719	874	1682	1
720	1620	1984	1
721	980	2052	1
722	1250	826	1
723	2730	1171	1
724	445	383	1
725	1935	507	1
726	1935	2197	1
727	930	1171	1
728	814	683	1
729	814	2553	1
730	608	1984	1
731	2070	2024	1
732	2667	48	1
733	771	2497	1
734	2437	291	1
735	2437	2553	1
736	1573	2553	1
737	1170	1984	1
738	2540	477	1
739	282	1171	1
740	282	2220	1
741	282	2435	1
742	334	2553	1
743	1926	2553	1
744	7	683	1
745	510	1984	1
746	738	60	1
747	135	826	1
748	1107	1078	1
749	963	2182	1
750	963	912	1
751	963	2545	1
752	2579	826	1
753	1281	826	1
754	1829	60	1
755	458	2047	1
756	458	677	1
757	1894	241	1
758	2066	1646	1
759	2066	826	1
760	1838	60	1
761	1838	60	1
762	1838	60	1
763	1838	60	1
764	1838	60	1
765	2658	60	1
766	2658	60	1
767	2658	60	1
768	611	1078	1
769	1838	60	1
770	2458	683	1
771	1556	826	1
772	1556	742	1
773	1287	383	1
774	1287	2553	1
775	371	2148	1
776	371	2537	1
777	830	2553	1
778	779	1395	1
779	1560	526	1
780	1180	2047	1
781	1180	336	1
782	1875	2553	1
783	1875	742	1
784	970	1346	1
785	1019	2553	1
786	0	826	1
787	0	1984	1
788	0	456	1
789	0	1229	1
790	0	45	1
791	0	1779	1
792	0	603	1
793	0	711	1
794	0	2052	1
795	0	2220	1
796	0	277	1
797	1955	425	1
798	1955	2588	1
799	1955	1365	1
800	1955	826	1
801	1955	1984	1
802	1955	2391	1
803	1955	456	1
804	1955	1229	1
805	1955	45	1
806	1955	1779	1
807	1955	603	1
808	1955	711	1
809	1955	2052	1
810	1955	2553	1
811	1955	742	1
812	1955	277	1
813	2	2047	1
814	2	456	1
815	2	1229	1
816	2	1061	1
817	2	603	1
818	2	2553	1
819	2	1402	1
820	1593	1984	1
821	1593	2553	1
822	2121	2553	1
823	785	742	1
824	1979	2047	1
825	1979	336	1
826	1979	677	1
827	2284	826	1
828	339	1365	1
829	339	2553	1
830	339	683	1
831	1477	742	1
832	1477	1187	1
833	1398	1984	1
834	1001	1365	1
835	1001	826	1
836	1001	1984	1
837	1001	456	1
838	1001	711	1
839	2626	2553	1
840	1927	2047	1
841	1927	336	1
842	1927	2671	1
843	1927	677	1
844	908	2671	1
845	1543	1085	1
846	1543	2139	1
847	1543	2492	1
848	1543	2047	1
849	1543	826	1
850	1543	336	1
851	1543	2671	1
852	1934	355	1
853	1934	2226	1
854	1934	1901	1
855	1934	2238	1
856	1934	2553	1
857	1934	1141	1
858	1934	935	1
859	1934	1841	1
860	1406	1337	1
861	1406	2391	1
862	1406	617	1
863	1406	617	1
864	1406	617	1
865	1406	617	1
866	1406	742	1
867	1406	2553	1
868	1406	683	1
869	678	2226	1
870	678	48	1
871	1872	60	1
872	1872	826	1
873	1872	2553	1
874	2679	826	1
875	1615	826	1
876	955	1484	1
877	955	2302	1
878	955	1365	1
879	955	456	1
880	955	45	1
881	955	603	1
882	955	711	1
883	955	2553	1
884	955	683	1
885	955	1841	1
886	1280	826	1
887	295	2537	1
888	278	1682	1
889	911	1682	1
890	10	1984	1
891	19	826	1
892	1626	826	1
893	1626	1229	1
894	1626	742	1
895	1824	1229	1
896	151	2553	1
897	969	1984	1
898	969	355	1
899	969	456	1
900	969	1229	1
901	969	603	1
902	969	711	1
903	969	2052	1
904	969	742	1
905	969	277	1
906	1077	1984	1
907	648	1646	1
908	2186	2521	1
909	1956	2553	1
910	1956	683	1
911	809	1722	1
912	864	2553	1
913	1600	1365	1
914	1600	1381	1
915	1600	2553	1
916	1600	1841	1
917	249	826	1
918	249	2330	1
919	249	1229	1
920	1146	826	1
921	1589	128	1
922	1972	2553	1
923	2033	1682	1
924	2033	456	1
925	2033	1229	1
926	2033	45	1
927	2033	2052	1
928	2033	1841	1
929	1058	1646	1
930	838	383	1
931	504	973	1
932	1590	116	1
933	1157	1365	1
934	1157	1841	1
935	2020	1365	1
936	2020	1984	1
937	2020	2553	1
938	2020	1841	1
939	314	2553	1
940	842	1984	1
941	842	477	1
942	910	326	1
943	920	425	1
944	920	2588	1
945	920	1079	1
946	920	1232	1
947	920	2553	1
948	146	826	1
949	1616	2047	1
950	1616	882	1
951	1616	1171	1
952	1746	1365	1
953	1969	826	1
954	1969	2349	1
955	1703	2220	1
956	1703	2553	1
957	1703	2647	1
958	1622	1229	1
959	2141	683	1
960	2141	2553	1
961	1308	2487	1
962	1308	2553	1
963	715	1984	1
964	715	355	1
965	550	1171	1
966	1188	291	1
967	1188	683	1
968	1188	2553	1
969	402	383	1
970	2578	826	1
971	372	826	1
972	372	2553	1
973	709	36	1
974	709	687	1
975	709	2625	1
976	709	961	1
977	709	1061	1
978	709	1522	1
979	709	277	1
980	709	2553	1
981	1822	1984	1
982	534	456	1
983	534	1229	1
984	534	603	1
985	534	386	1
986	1385	456	1
987	1385	1229	1
988	1385	386	1
989	1724	2553	1
990	1498	133	1
991	2619	2093	1
992	2619	1312	1
993	2619	525	1
994	2619	477	1
995	2619	1232	1
996	2619	2553	1
997	1321	1789	1
998	670	2487	1
999	67	2487	1
1000	67	2052	1
1001	67	2553	1
1002	67	683	1
1003	223	1365	1
1004	223	2553	1
1005	223	1841	1
1006	122	383	1
1007	122	826	1
1008	122	683	1
1009	1988	826	1
1010	1819	826	1
1011	1819	1984	1
1012	1819	1101	1
1013	1819	2226	1
1014	1819	456	1
1015	1819	1229	1
1016	1819	45	1
1017	1819	603	1
1018	1819	2052	1
1019	1819	742	1
1020	1819	1798	1
1021	1687	1646	1
1022	1687	2047	1
1023	1687	677	1
1024	1907	2553	1
1025	2515	2661	1
1026	2515	1234	1
1027	2665	1427	1
1028	2665	2661	1
1029	2665	1234	1
1030	82	826	1
1031	2612	2487	1
1032	2612	2553	1
1033	2397	60	1
1034	907	60	1
1035	1400	2220	1
1036	2034	683	1
1037	1854	60	1
1038	1854	2553	1
1039	2621	48	1
1040	788	1229	1
1041	1425	826	1
1042	1425	1984	1
1043	1865	2047	1
1044	1865	1984	1
1045	1865	336	1
1046	1419	826	1
1047	184	810	1
1048	183	2495	1
1049	183	1122	1
1050	183	617	1
1051	1953	1365	1
1052	1953	683	1
1053	1953	1841	1
1054	1891	1365	1
1055	1891	2553	1
1056	2239	1365	1
1057	2239	2553	1
1058	2239	1841	1
1059	1756	1365	1
1060	1756	1229	1
1061	1756	1841	1
1062	1369	1365	1
1063	1369	683	1
1064	1213	1365	1
1065	1213	1984	1
1066	1213	456	1
1067	1213	1229	1
1068	1177	1365	1
1069	1177	456	1
1070	1177	1229	1
1071	1177	1841	1
1072	1114	291	1
1073	1114	617	1
1074	1114	617	1
1075	1114	617	1
1076	1114	617	1
1077	1057	48	1
1078	2716	2553	1
1079	845	683	1
1080	2448	291	1
1081	2448	683	1
1082	1941	2553	1
1083	1959	2487	1
1084	1959	2553	1
1085	5	60	1
1086	2538	2553	1
1087	1179	1337	1
1088	1179	1079	1
1089	1179	355	1
1090	1179	1229	1
1091	1179	1232	1
1092	1179	2553	1
1093	1179	742	1
1094	1801	60	1
1095	1533	1559	1
1096	229	60	1
1097	229	935	1
1098	464	1353	1
1099	2717	1365	1
1100	2717	683	1
1101	2717	1841	1
1102	436	60	1
1103	436	2553	1
1104	1579	2226	1
1105	1579	742	1
1106	2401	826	1
1107	2401	744	1
1108	2151	425	1
1109	2151	2588	1
1110	2151	1337	1
1111	2151	1079	1
1112	2151	355	1
1113	2151	2391	1
1114	2151	1232	1
1115	2151	2553	1
1116	2151	742	1
1117	2173	525	1
1118	2173	826	1
1119	2173	2391	1
1120	2173	2553	1
1121	2166	1559	1
1122	716	1365	1
1123	716	1984	1
1124	1405	291	1
1125	1359	2047	1
1126	1359	677	1
1127	1725	294	1
1128	1725	2266	1
1129	1725	1395	1
1130	1725	2195	1
1131	2398	826	1
1132	2143	826	1
1133	119	1646	1
1134	119	2671	1
1135	119	2661	1
1136	119	742	1
1137	521	1984	1
1138	521	2553	1
1139	521	683	1
1140	131	423	1
1141	396	355	1
1142	1681	826	1
1143	1681	477	1
1144	688	826	1
1145	688	2487	1
1146	739	294	1
1147	739	2195	1
1148	643	23	1
1149	643	2644	1
1150	370	1984	1
1151	2369	1646	1
1152	894	2047	1
1153	894	336	1
1154	894	683	1
1155	38	2671	1
1156	38	912	1
1157	38	333	1
1158	38	1427	1
1159	875	1312	1
1160	2137	1646	1
1161	2137	826	1
1162	2137	2553	1
1163	166	48	1
1164	885	60	1
1165	2687	2553	1
1166	614	826	1
1167	2205	826	1
1168	2205	3	1
1169	2205	2330	1
1170	2205	1717	1
1171	2205	617	1
1172	1050	1365	1
1173	1050	1841	1
1174	2128	425	1
1175	2128	2588	1
1176	2128	1337	1
1177	2128	1079	1
1178	2128	355	1
1179	2212	425	1
1180	2212	2588	1
1181	2212	1337	1
1182	2212	1079	1
1183	2212	355	1
1184	2212	1232	1
1185	2212	2553	1
1186	2212	742	1
1187	1794	1427	1
1188	1794	1229	1
1189	1794	2661	1
1190	1794	2511	1
1191	1764	2553	1
1192	1020	2553	1
1193	2301	826	1
1194	139	1646	1
1195	139	826	1
1196	139	3	1
1197	1025	1646	1
1198	1025	826	1
1199	1025	477	1
1200	1909	60	1
1201	1909	713	1
1202	1909	2553	1
1203	1248	60	1
1204	1248	383	1
1205	1248	2553	1
1206	285	43	1
1207	285	2604	1
1208	285	1827	1
1209	285	1747	1
1210	1164	2553	1
1211	16	2226	1
1212	1708	683	1
1213	1152	60	1
1214	482	1559	1
1215	1435	383	1
1216	1342	2313	1
1217	1895	826	1
1218	1895	1633	1
1219	1895	2496	1
1220	1895	1621	1
1221	1895	2165	1
1222	2323	826	1
1223	408	826	1
1224	1034	826	1
1225	1115	826	1
1226	1043	1559	1
1227	159	2553	1
1228	1508	1984	1
1229	1508	456	1
1230	1508	1229	1
1231	1508	45	1
1232	1508	2052	1
1233	1624	826	1
1234	1624	1984	1
1235	1624	683	1
1236	1624	2553	1
1237	2201	2475	1
1238	2201	2216	1
1239	2201	574	1
1240	2201	826	1
1241	2201	1984	1
1242	2201	1191	1
1243	2201	2553	1
1244	2201	2240	1
1245	1892	1984	1
1246	1892	2349	1
1247	1892	2112	1
1248	1892	477	1
1249	2018	826	1
1250	2018	2553	1
1251	757	826	1
1252	1424	1365	1
1253	1424	826	1
1254	1424	1984	1
1255	1424	2391	1
1256	1424	456	1
1257	1424	1229	1
1258	1424	45	1
1259	1424	603	1
1260	1424	711	1
1261	1424	2052	1
1262	1424	2553	1
1263	1424	742	1
1264	1186	1411	1
1265	1186	2226	1
1266	1186	961	1
1267	1186	1061	1
1268	1186	1522	1
1269	1186	2553	1
1270	1186	277	1
1271	182	1646	1
1272	2170	1984	1
1273	1414	1383	1
1274	1414	1719	1
1275	582	456	1
1276	1781	683	1
1277	1604	1337	1
1278	1604	826	1
1279	1604	1984	1
1280	2261	2553	1
1281	2344	1171	1
1282	2490	826	1
1283	1488	2220	1
1284	1488	742	1
1285	171	383	1
1286	171	2360	1
1287	171	2553	1
1288	171	742	1
1289	2027	2553	1
1290	2097	2196	1
1291	1655	826	1
1292	602	2553	1
1293	551	742	1
1294	2193	1984	1
1295	2193	3	1
1296	1444	2313	1
1297	992	1646	1
1298	1736	291	1
1299	1736	2553	1
1300	2636	1171	1
1301	1158	1484	1
1302	1158	1337	1
1303	1158	935	1
1304	2465	2553	1
1305	245	2553	1
1306	1472	2553	1
1307	1472	683	1
1308	260	425	1
1309	260	2420	1
1310	260	60	1
1311	260	2553	1
1312	260	742	1
1313	472	1984	1
1314	1726	2502	1
1315	1726	2487	1
1316	1726	2553	1
1317	308	1646	1
1318	308	294	1
1319	308	2266	1
1320	308	1984	1
1321	308	2195	1
1322	308	1779	1
1323	308	2553	1
1324	1617	133	1
1325	1132	1682	1
1326	1132	826	1
1327	1132	1984	1
1328	1132	456	1
1329	1132	1229	1
1330	1132	48	1
1331	1132	1798	1
1332	1132	1841	1
1333	1246	2495	1
1334	1809	1171	1
1335	2190	683	1
1336	446	291	1
1337	896	425	1
1338	896	2588	1
1339	896	1365	1
1340	896	1312	1
1341	896	1984	1
1342	896	2391	1
1343	896	1229	1
1344	896	1779	1
1345	896	711	1
1346	896	742	1
1347	896	277	1
1348	1070	2580	1
1349	1070	1559	1
1350	1070	2047	1
1351	2213	2047	1
1352	2213	826	1
1353	2213	336	1
1354	2213	2052	1
1355	2213	2553	1
1356	2213	683	1
1357	2213	677	1
1358	2662	507	1
1359	2662	2197	1
1360	2042	2553	1
1361	1525	291	1
1362	1525	2553	1
1363	2439	1494	1
1364	2260	1559	1
1365	124	1333	1
1366	124	2391	1
1367	1335	2302	1
1368	1335	1365	1
1369	1335	456	1
1370	1335	711	1
1371	1913	291	1
1372	1970	2553	1
1373	1328	2553	1
1374	758	1101	1
1375	114	1229	1
1376	473	677	1
1377	1924	2302	1
1378	1924	1365	1
1379	1924	826	1
1380	1924	1984	1
1381	1924	456	1
1382	1924	1061	1
1383	1924	711	1
1384	384	1061	1
1385	271	1061	1
1386	419	291	1
1387	87	1229	1
1388	2352	2047	1
1389	2352	826	1
1390	2352	336	1
1391	2352	677	1
1392	235	2553	1
1393	1140	355	1
1394	1140	1229	1
1395	2577	291	1
1396	2577	826	1
1397	2577	2553	1
1398	2577	683	1
1399	418	2052	1
1400	418	2553	1
1401	258	1365	1
1402	258	1841	1
1403	1326	826	1
1404	2232	60	1
1405	417	1984	1
1406	2707	1312	1
1407	2707	2553	1
1408	491	60	1
1409	825	2553	1
1410	1855	1101	1
1411	1855	2226	1
1412	1855	48	1
1413	789	826	1
1414	949	291	1
1415	140	1365	1
1416	140	1984	1
1417	140	2553	1
1418	140	683	1
1419	1493	1365	1
1420	1493	2553	1
1421	1493	683	1
1422	1493	1841	1
1423	32	936	1
1424	32	1531	1
1425	32	1122	1
1426	32	1101	1
1427	32	2220	1
1428	32	617	1
1429	1844	1365	1
1430	1844	2553	1
1431	1844	1841	1
1432	2183	1365	1
1433	2183	1984	1
1434	2183	2553	1
1435	2735	1365	1
1436	2735	1841	1
1437	362	60	1
1438	362	2553	1
1439	2539	1061	1
1440	110	2047	1
1441	110	882	1
1442	110	677	1
1443	389	2553	1
1444	1194	2580	1
1445	1194	1559	1
1446	1194	2493	1
1447	1194	2251	1
1448	1194	1799	1
1449	1194	2076	1
1450	1194	1412	1
1451	1194	1430	1
1452	1194	2493	1
1453	1194	2493	1
1454	1194	1799	1
1455	1194	2147	1
1456	1194	2147	1
1457	1194	2147	1
1458	1194	658	1
1459	1194	658	1
1460	1194	658	1
1461	1194	2047	1
1462	1194	2129	1
